time_min,time_ts,machine,event,product_id,entity_id,APS,partName,SortingOrder,recipe,step_seq,technology,wait_min,proc_min,from_machine,to_machine,q_len
53,2025-10-10T08:40:33.454768+00:00,ADASP20,QUEUE_OUT,RO14865.1N,501,WFA,WTONCP431AS11H-FAB,RS50050700,DFM01,327,AFMMTEOS,53,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP20,PROC_START,RO14865.1N,501,WFA,WTONCP431AS11H-FAB,RS50050700,DFM01,327,AFMMTEOS,,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP20,QUEUE_OUT,RO14918.1H,517,WFA,WTONCV4276CA12K-FAB,RS50050700,DFM01,327,AFMMTEOS,53,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP20,PROC_START,RO14918.1H,517,WFA,WTONCV4276CA12K-FAB,RS50050700,DFM01,327,AFMMTEOS,,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP20,QUEUE_OUT,RO14920.1R,519,WFA,WTONCV4276CA12K-FAB,RS50050700,DFM01,327,AFMMTEOS,53,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP20,PROC_START,RO14920.1R,519,WFA,WTONCV4276CA12K-FAB,RS50050700,DFM01,327,AFMMTEOS,,,,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP23,QUEUE_IN,RO16848.1K,1616,WFA,WT614093BE8400Z-FAB,RS10030700,DFM45,86,ADNPLUSPR3,,,APCDM08,,24
53,2025-10-10T08:40:33.454768+00:00,ADASP27,QUEUE_IN,RO16667.1C,1505,WFA,WT6C1117-3301B-FAB,RS10024800,DFM52,124,ADBASEOXID,,,APCDM05,,19
53,2025-10-10T08:40:33.454768+00:00,ADASP27,QUEUE_IN,RO16665.1T,1503,WFA,WT6C1117-3301B-FAB,RS10024800,DFM52,124,ADBASEOXID,,,APCDM07,,20
53,2025-10-10T08:40:33.454768+00:00,ADCOM02,TRANSPORT_END,RO17202.1L,1957,WFA,WT6MC269-5000B-FAB,RS10000505,DSC03,1,BDLSCRIBE,,,,ADLSC01,
53,2025-10-10T08:40:33.454768+00:00,ADFUS04,QUEUE_IN,RO16500.1L,1338,WFA,WTAV21908CW3200D,RS10040050,PBF03,171,APNPLUS4,,,APSEM01,,1
53,2025-10-10T08:40:33.454768+00:00,ADLSC01,QUEUE_IN,RO17202.1L,1957,WFA,WT6MC269-5000B-FAB,RS10000505,DSC03,4,BDLSCRIBE,,,ADCOM02,,19
53,2025-10-10T08:40:33.454768+00:00,AFCOM04,TRANSPORT_END,RO16331.1L,1239,WFA,WTIF4391CN0101D-FAB,RS50046250,DFM95,1,AFTEOS1,,,,ADASP13,
53,2025-10-10T08:40:33.454768+00:00,AFCVD12,QUEUE_IN,RO16224.1K,1141,WFA,WTA61724CM9700D,RS50066950,FAM02,265,AFPASSPSG,,,APCDM06,,2
53,2025-10-10T08:40:33.454768+00:00,AFCVD13,QUEUE_IN,RO15775.1N,849,WFA,WTAV8408CR56A0D,RS50066950,FAM02,336,AFPASSPSG,,,APCDM04,,1
53,2025-10-10T08:40:33.454768+00:00,APCDM03,PROC_END,RO16477.1N,1316,WFA,WT8BUUM1025DP39AA-FAB,RS10040055,PMO81,86,BPNPLUS4,,6,,,
53,2025-10-10T08:40:33.454768+00:00,APCDM03,TRANSPORT_START,RO16477.1N,1316,WFA,WT8BUUM1025DP39AA-FAB,RS10040055,PID86,88,BPNPLUS4,,,,APSCP09,
53,2025-10-10T08:40:33.454768+00:00,APCDM04,TRANSPORT_END,RO15775.1N,849,WFA,WTAV8408CR56A0D,RS50066950,FAM02,1,AFPASSPSG,,,,AFCVD13,
53,2025-10-10T08:40:33.454768+00:00,APCDM05,TRANSPORT_END,RO16667.1C,1505,WFA,WT6C1117-3301B-FAB,RS10024800,DFM52,1,ADBASEOXID,,,,ADASP27,
53,2025-10-10T08:40:33.454768+00:00,APCDM06,TRANSPORT_END,RO16224.1K,1141,WFA,WTA61724CM9700D,RS50066950,FAM02,1,AFPASSPSG,,,,AFCVD12,
53,2025-10-10T08:40:33.454768+00:00,APCDM07,TRANSPORT_END,RO16665.1T,1503,WFA,WT6C1117-3301B-FAB,RS10024800,DFM52,1,ADBASEOXID,,,,ADASP27,
53,2025-10-10T08:40:33.454768+00:00,APCDM08,TRANSPORT_END,RO16848.1K,1616,WFA,WT614093BE8400Z-FAB,RS10030700,DFM45,1,ADNPLUSPR3,,,,ADASP23,
53,2025-10-10T08:40:33.454768+00:00,APCOT54,PROC_END,RO13677.1C,356,WFA,WTONCV4772112C-FAB,RS50051300,PCD02,365,APP2,,24,,,
53,2025-10-10T08:40:33.454768+00:00,APCOT54,TRANSPORT_START,RO13677.1C,356,WFA,WTONCV4772112C-FAB,RS50051300,PES01,366,APP2,,,,APSTP16,
53,2025-10-10T08:40:33.454768+00:00,APCOT54,QUEUE_OUT,RO14857.1A,493,WFA,WTOMC3306311K-FAB,RS10042750,PCD02,247,APNB,53,,,,3
53,2025-10-10T08:40:33.454768+00:00,APCOT54,PROC_START,RO14857.1A,493,WFA,WTOMC3306311K-FAB,RS10042750,PCD02,247,APNB,,,,,3
53,2025-10-10T08:40:33.454768+00:00,APSCP01,QUEUE_IN,RO16552.1L,1390,WFA,WT6BQEP0720DP09AA-FAB,RS10036500,PID06,89,APPOLY,,,APSEM02,,1
